item_id,baseline_answer,candidate_answer,gold,baseline_correct,candidate_correct,parse_error,effect,input_snippet,raw_response
object_counting_0150,9,9,9,True,True,False,unchanged_correct,"I have a couch, a bed, a car, a fridge, two tables, an oven, a toaster, and a chair. How many objects do I have?",VERDICT: 9
object_counting_0151,2,2,2,True,True,False,unchanged_correct,"I have a head of broccoli, and a cabbage. How many vegetables do I have?",VERDICT: 2
object_counting_0152,5,5,5,True,True,False,unchanged_correct,"I have four snails, and a cow. How many animals do I have?",VERDICT: 5
object_counting_0153,9,10,9,True,False,False,regressed,"I have a plum, a banana, a nectarine, a strawberry, a blackberry, two oranges, a raspberry, and a peach. How many fruits do I have?",VERDICT: 10
object_counting_0154,5,5,5,True,True,False,unchanged_correct,"I have a banana, a nectarine, a raspberry, an apple, and a peach. How many fruits do I have?",VERDICT: 5
object_counting_0155,8,8,8,True,True,False,unchanged_correct,"I have an apple, a plum, a blackberry, a raspberry, three strawberries, and a banana. How many fruits do I have?",VERDICT: 8
object_counting_0156,9,11,10,False,False,False,unchanged_wrong,"I have a trumpet, a piano, a flute, a snake, three accordions, a violin, a drum, a clarinet, and a trombone. How many musical instruments do I have?",VERDICT: 11
object_counting_0157,4,4,4,True,True,False,unchanged_correct,"I have a table, a strawberry, and three nectarines. How many fruits do I have?",VERDICT: 4
object_counting_0158,11,12,11,True,False,False,regressed,"I have an onion, a carrot, a potato, a yam, three lettuce heads, two cauliflowers, a garlic, and a cabbage. How many vegetables do I have?",VERDICT: 12
object_counting_0159,6,7,8,False,False,False,unchanged_wrong,"I have three potatoes, a carrot, a snake, a yam, a cauliflower, a stalk of celery, and a garlic. How many vegetables do I have?",VERDICT: 7
object_counting_0160,6,6,6,True,True,False,unchanged_correct,"I have a banana, a raspberry, a strawberry, a plum, a blackberry, and a grape. How many fruits do I have?",VERDICT: 6
object_counting_0161,4,5,5,False,True,False,fixed,"I have a trombone, a flute, two nectarines, a violin, a strawberry, a peach, and a grape. How many fruits do I have?",VERDICT: 5
object_counting_0162,6,7,7,False,True,False,fixed,"I have three heads of broccoli, two cauliflowers, a yam, and a lettuce head. How many vegetables do I have?",VERDICT: 7
object_counting_0163,11,13,13,False,True,False,fixed,"I have a lettuce head, two yams, a cabbage, a stalk of celery, three heads of broccoli, a garlic, an onion, a carrot, a cauliflower, and a potato. How many vegetables do I have?",VERDICT: 13
object_counting_0164,9,9,9,True,True,False,unchanged_correct,"I have an orange, a raspberry, a strawberry, an apple, a blackberry, a nectarine, a peach, a banana, and a plum. How many fruits do I have?",VERDICT: 9
object_counting_0165,13,15,16,False,False,False,unchanged_wrong,"I have a cabbage, four stalks of celery, two garlics, three carrots, a yam, a cauliflower, a lettuce head, two heads of broccoli, a microwave, and an onion. How many vegetables do I have?",VERDICT: 15
object_counting_0166,6,6,6,True,True,False,unchanged_correct,"I have an oven, an apple, three bananas, a table, and two grapes. How many fruits do I have?",VERDICT: 6
object_counting_0167,13,13,13,True,True,False,unchanged_correct,"I have a lettuce head, a stalk of celery, two yams, a cauliflower, a carrot, two onions, two potatoes, and three cabbages. How many vegetables do I have?",VERDICT: 13
object_counting_0168,3,3,3,True,True,False,unchanged_correct,"I have a toaster, a table, and a fridge. How many objects do I have?",VERDICT: 3
object_counting_0169,5,5,6,False,False,False,unchanged_wrong,"I have two chairs, a toaster, an oven, a table, and a couch. How many objects do I have?",VERDICT: 5
object_counting_0170,10,11,11,False,True,False,fixed,"I have a trombone, three clarinets, an accordion, two violins, a flute, a drum, a trumpet, and a piano. How many musical instruments do I have?",VERDICT: 11
object_counting_0171,2,2,2,True,True,False,unchanged_correct,"I have a garlic, and an onion. How many vegetables do I have?",VERDICT: 2
object_counting_0172,3,3,3,True,True,False,unchanged_correct,"I have a grape, a banana, and a blackberry. How many fruits do I have?",VERDICT: 3
object_counting_0173,9,9,10,False,False,False,unchanged_wrong,"I have three snakes, a cat, a bear, two goats, a chicken, a donkey, a car, and a fish. How many animals do I have?",VERDICT: 9
object_counting_0174,12,15,15,False,True,False,fixed,"I have a fish, a snake, a lettuce head, a mouse, four bears, a rabbit, a pig, three goats, a cow, and two snails. How many animals do I have?",VERDICT: 15
object_counting_0175,8,11,12,False,False,False,unchanged_wrong,"I have a potato, a carrot, two onions, a cauliflower, a plum, a lettuce head, five stalks of celery, and a yam. How many vegetables do I have?",VERDICT: 11
object_counting_0176,7,7,7,True,True,False,unchanged_correct,"I have an oven, a bed, a lamp, a chair, a fridge, a microwave, and a toaster. How many objects do I have?",VERDICT: 7
object_counting_0177,9,10,10,False,True,False,fixed,"I have two fish, four cats, two chickens, a mouse, and a goat. How many animals do I have?",VERDICT: 10
object_counting_0178,4,4,4,True,True,False,unchanged_correct,"I have a toaster, a bed, a car, and a fridge. How many objects do I have?",VERDICT: 4
