candidate_id,item_id,baseline_answer,candidate_answer,gold,baseline_correct,candidate_correct,parse_error,effect,features,sentence,options,raw_response
gen_disambig_specific_family_v1_5,disambiguation_qa_0150,(C),(C),(C),True,True,False,unchanged_correct,"['because_clause', 'pronoun_he', 'unable_to']",The developer was unable to communicate with the writer because he used big words.,(A) The developer uses big words (B) The writer uses big words (C) Ambiguous,VERDICT: (C)
gen_disambig_specific_family_v1_5,disambiguation_qa_0151,(C),(C),(C),True,True,False,unchanged_correct,"['because_clause', 'concrete_object_or_issue', 'conflict_event', 'pronoun_they']",The developer argued with the designer because they liked the design.,(A) The developer liked the design (B) The designer liked the design (C) Ambiguous,VERDICT: (C)
gen_disambig_specific_family_v1_5,disambiguation_qa_0152,(A),(A),(A),True,True,False,unchanged_correct,"['concrete_object_or_issue', 'pronoun_their']",The pathologist obtained tissue samples from the victim to look at under their microscope.,(A) It was the pathologist's microscope (B) It was the victim's microscope (C) Ambiguous,VERDICT: (A)
gen_disambig_specific_family_v1_5,disambiguation_qa_0153,(C),(C),(A),False,False,False,unchanged_wrong,"['pronoun_she', 'told_that']",The carpenter told the onlooker that she had been working on the house for three weeks.,(A) The carpenter had been working on the house (B) The onlooker had been working on the house (C) Ambiguous,VERDICT: (C)
gen_disambig_specific_family_v1_5,disambiguation_qa_0154,(C),(A),(A),False,True,False,fixed,"['but_clause', 'message_reply', 'pronoun_they']","The manager sent a message to the secretary, but they didn't reply yet.",(A) The secretary didn't reply yet (B) The manager didn't reply yet (C) Ambiguous,VERDICT: (A)
gen_disambig_specific_family_v1_5,disambiguation_qa_0155,(C),(C),(C),True,True,False,unchanged_correct,"['because_clause', 'pronoun_they']",The mechanic greets the receptionist because they were in a good mood.,(A) The mechanic was in a good mood (B) The receptionist was in a good mood (C) Ambiguous,VERDICT: (C)
gen_disambig_specific_family_v1_5,disambiguation_qa_0156,(C),(B),(A),False,False,False,unchanged_wrong,"['concrete_object_or_issue', 'otherwise_clause', 'pronoun_it', 'pronoun_they', 'warning_event']","The janitor warned the child not to step on the wet floor, otherwise they would have to mop it all over again.",(A) The janitor would have to mop (B) The child would have to mop (C) Ambiguous,VERDICT: (B)
gen_disambig_specific_family_v1_5,disambiguation_qa_0157,(C),(B),(C),True,False,False,regressed,"['asked_event', 'concrete_object_or_issue', 'pronoun_her']",The manager asked the employee to not forget her car.,(A) It was the manager's car (B) It was the employee's car (C) Ambiguous,VERDICT: (B)
gen_disambig_specific_family_v1_5,disambiguation_qa_0158,(C),(C),(C),True,True,False,unchanged_correct,"['discussion', 'pronoun_his']",The reporter and the chef discuss his favorite dishes.,(A) They discuss the reporter's favorite dishes (B) They discuss the chef's favorite dishes (C) Ambiguous,VERDICT: (C)
gen_disambig_specific_family_v1_5,disambiguation_qa_0159,(A),(A),(A),True,True,False,unchanged_correct,"['asked_event', 'pronoun_she']",The homeowner asked the inspector if the house she had purchased was structurally sound.,(A) The homeowner had purchased (B) The inspector had purchased (C) Ambiguous,VERDICT: (A)
gen_disambig_specific_family_v1_5,disambiguation_qa_0160,(C),(C),(A),False,False,False,unchanged_wrong,"['because_clause', 'concrete_object_or_issue', 'knowledge_asymmetry', 'pronoun_she']",The secretary corrected the developer because she better understood the problem.,(A) The secretary understood the problem (B) The developer understood the problem (C) Ambiguous,VERDICT: (C)
gen_disambig_specific_family_v1_5,disambiguation_qa_0161,(A),(A),(A),True,True,False,unchanged_correct,['pronoun_he'],The paralegal forgot to file paperwork for the client so he was fired.,(A) The paralegal was fired (B) The client was fired (C) Ambiguous,VERDICT: (A)
gen_disambig_specific_family_v1_5,disambiguation_qa_0162,(C),(C),(B),False,False,False,unchanged_wrong,"['advice_should', 'pronoun_they', 'told_that']",The hygienist told the patient that they should floss every day.,(A) The hygienist should floss (B) The patient should floss (C) Ambiguous,VERDICT: (C)
gen_disambig_specific_family_v1_5,disambiguation_qa_0163,(B),(B),(C),False,False,False,unchanged_wrong,"['after_clause', 'concrete_object_or_issue', 'conflict_event', 'pronoun_she']",The driver yelled at the tailor after she broke a window.,(A) The driver broke a window (B) The tailor broke a window (C) Ambiguous,VERDICT: (B)
gen_disambig_specific_family_v1_5,disambiguation_qa_0164,(A),(A),(A),True,True,False,unchanged_correct,['pronoun_she'],Alex tells us that she could not meet.,(A) Alex could not meet (B) We could not meet (C) Ambiguous,VERDICT: (A)
gen_disambig_specific_family_v1_5,disambiguation_qa_0165,(B),(B),(B),True,True,False,unchanged_correct,['pronoun_her'],The carpenter made a desk for the clerk and gave her a discount.,(A) Gave the carpenter a discount (B) Gave the clerk a discount (C) Ambiguous,VERDICT: (B)
gen_disambig_specific_family_v1_5,disambiguation_qa_0166,(B),(B),(B),True,True,False,unchanged_correct,[],The construction worker called the editor and told them the whole story.,(A) Told the construction worker the story (B) Told the editor the story (C) Ambiguous,VERDICT: (B)
gen_disambig_specific_family_v1_5,disambiguation_qa_0167,(A),(A),(A),True,True,False,unchanged_correct,['pronoun_his'],My cousin called his boss for more information,(A) They were my cousin's boss (B) They were the boss's boss (C) Ambiguous,VERDICT: (A)
gen_disambig_specific_family_v1_5,disambiguation_qa_0168,(B),(B),(B),True,True,False,unchanged_correct,[],The salesperson tried to fool the writer and sold him some garbage.,(A) Sold the salesperson some garbage (B) Sold the writer some garbage (C) Ambiguous,VERDICT: (B)
gen_disambig_specific_family_v1_5,disambiguation_qa_0169,(C),(C),(C),True,True,False,unchanged_correct,"['discussion', 'pronoun_their']",The reporter and the chef discussed their favorite dishes.,(A) They discussed the reporter's favorite dishes (B) They discussed the chef's favorite dishes (C) Ambiguous,VERDICT: (C)
gen_disambig_specific_family_v1_5,disambiguation_qa_0170,(C),(C),(B),False,False,False,unchanged_wrong,"['discussion', 'pronoun_their']",The customer and the chef discuss their culinary training.,(A) It is the customer's culinary training (B) It is the chef's culinary training (C) Ambiguous,VERDICT: (C)
gen_disambig_specific_family_v1_5,disambiguation_qa_0171,(C),(C),(B),False,False,False,unchanged_wrong,"['because_clause', 'concrete_object_or_issue', 'needed_one', 'pronoun_he']",The CEO bought the accountant a car because he needed one.,(A) The CEO needed a car (B) The accountant needed a car (C) Ambiguous,VERDICT: (C)
gen_disambig_specific_family_v1_5,disambiguation_qa_0172,(C),(B),(B),False,True,False,fixed,"['asked_event', 'because_clause', 'concrete_object_or_issue', 'helped_because', 'pronoun_she']",The librarian helped the CEO to find the book because she asked.,(A) The librarian asked (B) The CEO asked (C) Ambiguous,VERDICT: (B)
gen_disambig_specific_family_v1_5,disambiguation_qa_0173,(C),(B),(C),True,False,False,regressed,['pronoun_their'],Bailey plans to meet the director at their office,(A) It is Bailey's office (B) It is the director's office (C) Ambiguous,VERDICT: (B)
